"","id","host_id","host_acceptance_rate","host_listings_count","host_verifications","accommodates","bathrooms","beds","minimum_nights","maximum_nights","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_l30d","first_review","review_scores_rating","instant_bookable","calculated_host_listings_count","reviews_per_month","p_host_acceptance_rate","n_days_since","flag_days_since","flag_reviews_per_month","flag_number_of_reviews","flag_review_scores_rating","f_neighbourhood_cleansed","f_property_type","price_daily","ln_price","accommodates2","ln_review_scores_rating","n_days_since2","n_days_since3","n_accommodates2","d_host_is_superhost","d_host_identity_verified","d_host_has_profile_pic","f_bathroom","f_number_of_reviews","f_minimum_nights","tv","heating","wifi","coffee_maker","AC","refrigerator","microwave","hot_water","long_term_stay"
"240",1349276,7320641,78,1,"['email', 'phone']",4,1,5,1,1125,"1",27,57,87,359,"2022-12-30",41,0,"2016-05-16",4.88,"0",1,0.51,78,2419,0,0,0,0,"Frederiksberg","Entire Unit",392,5.97126183979046,16,1.58514521986506,5851561,14154926059,16,"1","1","1","1","1","1",1,1,1,1,0,1,0,0,1
"241",1182803,6470206,33,1,"['email', 'phone']",3,1.5,1,3,30,"1",0,0,17,292,"2022-12-30",61,0,"2013-08-12",4.22,"0",1,0.53,33,3427,0,0,0,0,"Nrrebro","Entire Unit",105,4.65396035015752,9,1.43983512804792,11744329,40247815483,9,"0","1","1","1","2","3",0,1,1,0,0,1,0,1,1
"242",1353436,464359,50,1,"['email', 'phone']",4,1,2,3,30,"1",0,0,0,0,"2022-12-30",24,0,"2015-09-07",4.96,"0",1,0.27,50,2671,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",119,4.77912349311153,16,1.60140574073684,7134241,19055557711,16,"0","1","1","1","1","3",1,1,1,1,0,1,0,1,1
"243",1184364,6477924,80,1,"['email', 'phone']",4,1,2,6,21,"1",0,0,0,0,"2022-12-30",48,0,"2013-08-15",4.85,"0",1,0.42,80,3424,0,0,0,0,"Nrrebro","Entire Unit",119,4.77912349311153,16,1.57897870494939,11723776,40142209024,16,"0","1","1","1","1","3",0,1,1,0,0,1,0,1,0
"244",1184650,3196055,100,1,"['email', 'phone', 'work_email']",4,1,3,3,70,"1",23,53,83,167,"2022-12-30",44,0,"2013-05-29",4.71,"0",1,0.38,100,3502,0,0,0,0,"Indre By","Condominium",228,5.42934562895444,16,1.54968790802833,12264004,42948542008,16,"0","1","1","1","1","3",1,0,1,0,0,1,0,1,1
"245",1354835,3071199,79,1,"['email', 'phone']",4,1,4,2,30,"1",0,0,0,0,"2022-12-30",11,0,"2022-10-08",4.91,"0",1,3.93,79,83,0,0,0,0,"Vesterbro-Kongens Enghave","Condominium",196,5.27811465923052,16,1.59127394180643,6889,571787,16,"0","1","1","1","1","2",0,0,1,0,0,1,0,1,1
"246",1040628,5729534,58,1,"['email', 'phone']",6,1,5,3,1125,"1",0,2,11,233,"2022-12-30",87,0,"2013-04-30",4.73,"0",1,0.74,58,3531,0,0,0,0,"Nrrebro","Entire Unit",210,5.34710753071747,36,1.55392520250384,12467961,44024370291,36,"1","1","1","1","2","3",1,1,1,0,0,0,0,1,1
"247",1191986,6515821,0,1,"['email', 'phone']",3,1,1,7,1125,"1",0,0,0,0,"2022-12-30",16,0,"2018-02-17",4.81,"0",1,0.27,0,1777,0,0,0,0,"Amager st","Entire Unit",84,4.43081679884331,9,1.57069708411767,3157729,5611284433,9,"0","1","1","1","1","3",1,1,1,0,0,1,0,0,1
"248",1043447,5688389,67,1,"['email', 'phone']",5,1,4,4,21,"1",0,0,0,150,"2022-12-30",40,0,"2013-05-20",4.82,"0",1,0.34,67,3511,0,0,0,0,"Amager st","Condominium",165,5.10594547390058,25,1.57277392806251,12327121,43280521831,25,"0","1","1","1","1","3",1,1,1,1,0,0,1,1,0
"249",1357858,4830796,33,1,"['email', 'phone']",2,1,1,40,70,"1",0,0,0,0,"2022-12-30",53,0,"2013-07-27",4.89,"0",1,0.46,33,3443,0,0,0,0,"Indre By","Entire Unit",113,4.72738781871234,4,1.58719230348678,11854249,40814179307,4,"1","1","1","1","2","3",1,0,1,1,0,1,0,1,1
"250",1360569,7385467,0,1,"['email', 'phone']",2,1,1,4,30,"1",2,2,3,3,"2022-12-30",4,0,"2016-12-08",5,"1",1,0.05,0,2213,0,0,0,0,"Indre By","Entire Unit",73,4.29045944114839,4,1.6094379124341,4897369,10837877597,4,"0","1","1","1","1","3",1,1,1,0,0,1,0,1,1
"251",1055005,5809634,77,1,"['email', 'phone']",2,1,1,2,1125,"1",0,0,0,223,"2022-12-30",125,0,"2013-04-27",4.79,"0",1,1.06,77,3534,0,0,0,0,"sterbro","Entire Unit",126,4.83628190695148,4,1.56653041142282,12489156,44136677304,4,"0","1","1","1","2","2",1,1,1,0,0,0,0,0,1
"252",1197829,6543443,71,3,"['phone']",4,1,3,3,1125,"1",0,0,0,0,"2022-12-30",66,0,"2013-07-15",4.83,"0",3,0.57,71,3455,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",119,4.77912349311153,16,1.57484646766448,11937025,41242421375,16,"0","1","1","1","2","3",0,1,1,0,0,0,0,1,1
"253",1361775,7392755,100,1,"['email', 'phone']",2,1,1,3,31,"1",0,0,0,0,"2022-12-30",27,0,"2013-11-25",4.78,"0",1,0.24,100,3322,0,0,0,0,"Vanlse","Condominium",63,4.14313472639153,4,1.56444054650336,11035684,36660542248,4,"0","1","1","1","1","3",0,1,1,1,0,1,0,1,1
"254",1057350,5823976,96,1,"['email', 'phone']",5,1,2,2,14,"1",0,24,25,165,"2022-12-30",135,2,"2013-05-12",4.65,"0",1,1.15,96,3519,0,0,0,0,"Nrrebro","Entire Unit",175,5.16478597392351,25,1.53686721959926,12383361,43577047359,25,"1","0","1","1","2","2",1,1,1,1,0,1,1,1,0
"255",1058983,554987,100,1,"['email', 'phone']",4,1,1,2,200,"1",2,2,2,2,"2022-12-30",66,0,"2013-05-12",4.77,"0",1,0.56,100,3519,0,0,0,0,"Indre By","Entire Unit",119,4.77912349311153,16,1.56234630490025,12383361,43577047359,16,"0","1","1","1","2","2",1,1,1,0,0,1,0,1,1
"256",1061177,5830996,13,2,"['email', 'phone']",4,1,4,2,14,"1",30,60,90,365,"2022-12-30",7,0,"2013-06-16",4.71,"0",2,0.06,13,3484,0,0,0,0,"Frederiksberg","Entire Unit",521,6.25575004175337,16,1.54968790802833,12138256,42289683904,16,"0","0","1","1","1","2",1,1,1,0,0,0,0,0,0
"257",1206018,4711800,100,1,"['email', 'phone']",2,1,1,5,15,"1",0,0,0,12,"2022-12-30",43,0,"2013-06-16",4.66,"0",1,0.37,100,3484,0,0,0,0,"Nrrebro","Condominium",77,4.34380542185368,4,1.53901544813755,12138256,42289683904,4,"0","1","1","1","1","3",1,1,1,0,0,0,0,1,0
"258",1061648,5844782,0,1,"['email', 'phone']",2,1,1,3,7,"1",0,10,10,10,"2022-12-30",0,0,"",4.89,"0",1,1,0,869,1,0,1,1,"Amager st","Condominium",154,5.03695260241363,4,1.58719230348678,755161,656234909,4,"0","0","1","1","0","3",1,1,0,1,0,1,1,1,0
"259",1066680,3380231,90,2,"['email', 'phone']",4,1,3,3,14,"1",0,0,0,0,"2022-12-30",58,0,"2013-05-21",4.98,"0",1,0.5,90,3510,0,0,0,0,"Frederiksberg","Loft",156,5.04985600724954,16,1.60542989103656,12320100,43243551000,16,"0","1","1","1","2","3",1,1,0,0,0,1,0,1,0
"260",1377456,7461983,53,2,"['email', 'phone']",2,1,1,4,1125,"1",0,0,0,0,"2022-12-30",14,0,"2014-03-25",4.77,"0",2,0.13,53,3202,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",55,4.00733318523247,4,1.56234630490025,10252804,32829478408,4,"1","1","1","1","1","3",0,1,1,0,0,1,1,1,1
"261",1207818,3442943,100,1,"['email', 'phone', 'work_email']",2,1,1,4,28,"1",5,5,5,5,"2022-12-30",34,0,"2013-08-30",4.74,"0",1,0.3,100,3409,0,0,0,0,"Indre By","Entire Unit",115,4.74493212836325,4,1.55603713570699,11621281,39616946929,4,"0","1","1","1","1","3",0,1,1,1,0,1,0,1,1
"262",1380790,7477218,75,1,"['phone']",2,1,2,3,6,"1",0,0,0,0,"2022-12-30",27,0,"2013-08-10",4.67,"0",1,0.24,75,3429,0,0,0,0,"Vesterbro-Kongens Enghave","Condominium",105,4.65396035015752,4,1.54115907168081,11758041,40318322589,4,"0","1","1","1","1","3",0,1,1,1,0,1,0,1,0
"263",1076510,5923265,75,1,"['email', 'phone']",4,1.5,2,5,21,"1",0,0,0,38,"2022-12-30",35,0,"2013-08-02",5,"0",1,0.31,75,3437,0,0,0,0,"Amager Vest","Entire Unit",315,5.75257263882563,16,1.6094379124341,11812969,40601174453,16,"0","1","1","1","1","3",1,1,1,0,0,1,0,1,0
"264",1208976,6602323,67,1,"['email', 'phone']",6,1,4,3,40,"1",0,0,0,38,"2022-12-30",65,0,"2013-06-15",4.92,"0",1,0.56,67,3485,0,0,0,0,"sterbro","Entire Unit",253,5.53338948872752,36,1.59330853050422,12145225,42326109125,36,"0","1","1","1","2","3",1,1,1,1,0,1,0,1,1
"265",1076677,5924444,33,1,"['email', 'phone']",4,1,2,6,30,"1",0,0,0,212,"2022-12-30",18,0,"2014-09-08",4.44,"0",1,0.18,33,3035,0,0,0,0,"Nrrebro","Entire Unit",122,4.80402104473326,16,1.49065437644413,9211225,27956067875,16,"0","1","1","1","1","3",0,1,1,0,0,1,1,1,1
"266",1079829,5939718,0,1,"['email', 'phone']",4,1,4,7,1125,"1",20,50,80,321,"2022-12-30",20,0,"2013-07-18",4.6,"0",1,0.17,0,3452,0,0,0,0,"Indre By","Entire Unit",312,5.74300318780948,16,1.52605630349505,11916304,41135081408,16,"0","1","1","1","1","3",1,1,1,1,0,1,1,1,1
"267",1083039,5954516,57,2,"['email', 'phone']",4,1,2,3,30,"1",4,18,25,261,"2022-12-30",125,2,"2015-05-17",4.81,"0",1,1.35,57,2784,0,0,0,0,"Indre By","Entire Unit",167,5.11799381241676,16,1.57069708411767,7750656,21577826304,16,"1","1","1","1","2","3",1,1,1,0,0,1,1,1,1
"269",1092248,5971294,15,1,"['email', 'phone']",2,1,1,3,21,"1",23,53,77,164,"2022-12-30",17,0,"2013-09-30",4.79,"0",1,0.15,15,3378,0,0,0,0,"Frederiksberg","Entire Unit",119,4.77912349311153,4,1.56653041142282,11410884,38545966152,4,"0","0","1","1","1","3",1,1,1,1,0,1,1,0,0
"270",1382160,6355510,67,1,"['email', 'phone', 'work_email']",5,1,2,3,7,"1",0,0,0,273,"2022-12-30",41,0,"2013-08-24",4.87,"0",1,0.36,67,3415,0,0,0,0,"Indre By","Entire Unit",308,5.73009978297357,25,1.5830939370945,11662225,39826498375,25,"0","1","1","1","1","3",1,1,1,1,0,1,1,1,0
"271",1211696,6615827,0,1,"['email', 'phone']",5,1.5,4,4,28,"1",0,1,1,121,"2022-12-30",14,0,"2013-07-24",4.92,"0",1,0.12,0,3446,0,0,0,0,"sterbro","Condominium",154,5.03695260241363,25,1.59330853050422,11874916,40920960536,25,"0","1","1","1","1","3",1,1,1,0,0,1,1,1,1
"272",1384179,7492680,83,2,"['email', 'phone']",2,1,1,5,20,"1",27,52,82,314,"2022-12-30",75,0,"2013-10-29",4.93,"0",1,0.67,83,3349,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",168,5.12396397940326,4,1.5953389880546,11215801,37561717549,4,"0","0","1","1","2","3",1,1,1,0,0,1,0,1,0
"273",1097273,1693799,100,1,"['email', 'phone']",4,1,2,2,30,"1",0,9,9,74,"2022-12-30",32,0,"2014-07-24",4.8,"1",1,0.31,100,3081,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",136,4.91265488573605,16,1.56861591791385,9492561,29246580441,16,"1","1","1","1","1","2",0,0,0,1,0,1,0,1,1
"274",1234017,6729407,0,1,"['email', 'phone']",4,1,4,7,1125,"1",9,39,69,344,"2022-12-30",32,0,"2013-07-16",4.77,"0",1,0.28,0,3454,0,0,0,0,"Nrrebro","Entire Unit",147,4.99043258677874,16,1.56234630490025,11930116,41206620664,16,"0","1","1","1","1","3",1,1,1,0,0,0,0,1,1
"275",1238231,6750450,70,2,"['email', 'phone']",2,1,2,5,365,"1",0,9,9,75,"2022-12-30",34,0,"2013-07-18",4.82,"0",1,0.3,70,3452,0,0,0,0,"Frederiksberg","Entire Unit",140,4.9416424226093,4,1.57277392806251,11916304,41135081408,4,"0","1","1","1","1","3",1,1,1,0,0,1,1,1,1
"276",1389542,7230768,0,1,"['email', 'phone']",6,1,4,4,17,"1",0,0,0,0,"2022-12-30",24,0,"2015-07-27",4.88,"0",1,0.27,0,2713,0,0,0,0,"Nrrebro","Condominium",139,4.93447393313069,36,1.58514521986506,7360369,19968681097,36,"0","1","1","1","1","3",0,1,1,0,0,0,0,1,0
"278",1107046,6077783,89,1,"['email', 'phone', 'work_email']",3,1,2,5,70,"1",0,0,0,0,"2022-12-30",112,0,"2013-07-12",4.75,"0",1,0.97,89,3458,0,0,0,0,"sterbro","Loft",186,5.2257466737132,9,1.55814461804655,11957764,41349947912,9,"0","1","1","1","2","3",1,1,1,1,0,0,0,0,0
"279",1238636,6751391,91,3,"['email', 'phone', 'work_email']",4,1,3,4,30,"1",0,0,0,0,"2022-12-30",25,0,"2014-07-07",5,"1",1,0.24,91,3098,0,0,0,0,"Frederiksberg","Entire Unit",182,5.2040066870768,16,1.6094379124341,9597604,29733377192,16,"1","1","1","1","1","3",1,1,1,0,0,0,0,0,1
"280",1111683,396954,100,2,"['email', 'phone', 'work_email']",5,1,4,4,21,"1",0,0,0,74,"2022-12-30",70,0,"2013-08-19",5,"0",1,0.61,100,3420,0,0,0,0,"Frederiksberg","Entire Unit",147,4.99043258677874,25,1.6094379124341,11696400,40001688000,25,"1","1","1","1","2","3",1,1,1,1,0,1,1,1,0
"281",1390151,7517917,96,1,"['email', 'phone']",2,1,2,3,1125,"1",21,47,77,324,"2022-12-30",164,1,"2013-10-10",4.83,"0",1,1.46,96,3368,0,0,0,0,"Indre By","Entire Unit",186,5.2257466737132,4,1.57484646766448,11343424,38204652032,4,"1","1","1","1","2","3",0,1,1,0,0,1,0,1,1
"282",1238975,6753549,20,1,"['email', 'phone']",3,1,2,4,1125,"1",20,44,74,74,"2022-12-30",38,0,"2013-08-25",4.92,"0",1,0.33,20,3414,0,0,0,0,"Amager Vest","Entire Unit",91,4.51085950651685,9,1.59330853050422,11655396,39791521944,9,"0","0","1","1","1","3",1,1,1,0,0,1,0,1,1
"283",1402312,7526378,82,2,"['email', 'phone']",5,1,5,4,365,"1",0,0,0,44,"2022-12-30",38,0,"2013-08-08",4.86,"0",1,0.33,82,3431,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",142,4.95582705760126,25,1.5810384379124,11771761,40388911991,25,"0","1","1","1","1","3",1,1,0,0,0,1,0,0,1
"284",1112645,6106477,80,1,"['email', 'phone']",6,1,6,5,31,"1",1,8,8,65,"2022-12-30",19,0,"2015-07-08",4.59,"0",1,0.21,80,2732,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",260,5.56068163101553,36,1.52388002407245,7463824,20391167168,36,"0","1","1","1","1","3",1,1,1,1,0,1,0,1,1
"285",1113643,5701921,93,1,"['email', 'phone', 'work_email']",4,1.5,2,2,1125,"1",0,0,0,0,"2022-12-30",39,2,"2015-06-01",5,"0",1,0.42,93,2769,0,0,0,0,"Indre By","Entire Unit",380,5.94017125272043,16,1.6094379124341,7667361,21230922609,16,"1","1","1","1","1","2",1,1,0,1,0,1,1,1,1
"286",1239567,4735473,20,1,"['email', 'phone']",4,1,4,6,1125,"1",29,59,89,364,"2022-12-30",6,0,"2014-08-25",4.75,"0",1,0.06,20,3049,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",357,5.87773578177964,16,1.55814461804655,9296401,28344726649,16,"0","1","1","1","1","3",1,1,1,0,0,1,1,1,1
"287",1117505,6133627,39,1,"['email', 'phone']",4,1,3,3,7,"1",0,0,0,0,"2022-12-30",25,0,"2015-09-28",4.8,"0",1,0.28,39,2650,0,0,0,0,"Nrrebro","Entire Unit",140,4.9416424226093,16,1.56861591791385,7022500,18609625000,16,"0","1","1","1","1","3",1,1,1,0,0,0,0,1,0
"288",1407934,7593569,33,2,"['email', 'phone']",4,1,5,3,14,"1",0,1,1,165,"2022-12-30",37,0,"2013-08-11",4.57,"0",1,0.32,33,3428,0,0,0,0,"sterbro","Entire Unit",112,4.71849887129509,16,1.51951320490611,11751184,40283058752,16,"0","0","1","1","1","3",1,1,1,1,0,1,0,1,0
"289",1408710,7429606,6,1,"['email', 'phone']",4,1,4,3,365,"1",0,17,17,195,"2022-12-30",48,0,"2013-08-07",4.7,"0",1,0.42,6,3432,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",175,5.16478597392351,16,1.54756250871601,11778624,40424237568,16,"0","1","1","1","1","3",1,1,1,0,0,0,0,0,1
"290",1243057,6775232,86,1,"['email', 'phone']",6,2.5,4,3,1125,"1",23,53,83,350,"2022-12-30",3,0,"2013-07-30",5,"0",1,0.03,86,3440,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",448,6.10479323241498,36,1.6094379124341,11833600,40707584000,36,"0","1","1","2","1","3",1,1,1,0,0,0,0,0,1
"291",1414254,7622133,97,1,"['email', 'phone']",3,1,1,2,1125,"1",5,21,51,326,"2022-12-30",78,3,"2017-08-18",4.86,"0",1,1.19,97,1960,0,0,0,0,"Indre By","Apartment",167,5.11799381241676,9,1.5810384379124,3841600,7529536000,9,"1","1","1","1","2","2",1,1,1,1,0,1,0,1,1
"292",1120755,2646044,100,1,"['email', 'phone']",4,1,3,6,28,"1",1,1,1,104,"2022-12-30",27,1,"2016-12-11",4.89,"0",1,0.37,100,2210,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",138,4.92725368515721,16,1.58719230348678,4884100,10793861000,16,"0","1","1","1","1","3",1,1,1,0,0,1,1,1,1
"293",1122214,6140485,75,1,"['email', 'phone']",6,1,3,4,100,"1",0,0,0,0,"2022-12-30",69,0,"2013-05-21",4.71,"0",1,0.59,75,3510,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",168,5.12396397940326,36,1.54968790802833,12320100,43243551000,36,"0","1","1","1","2","3",1,1,1,1,0,1,1,1,1
"294",1122354,6157840,100,2,"['email', 'phone']",5,1,3,21,1125,"1",0,0,0,59,"2022-12-30",84,0,"2014-04-19",4.88,"0",1,0.79,100,3177,0,0,0,0,"Nrrebro","Condominium",133,4.89034912822175,25,1.58514521986506,10093329,32066506233,25,"0","1","1","1","2","3",1,1,1,1,0,1,1,1,1
"295",1122594,5162377,16,2,"['email', 'phone', 'work_email']",3,1,1,3,31,"1",29,59,89,364,"2022-12-30",6,0,"2014-04-21",4.83,"0",2,0.06,16,3175,0,0,0,0,"Nrrebro","Condominium",245,5.50125821054473,9,1.57484646766448,10080625,32005984375,9,"0","1","1","1","1","3",0,1,1,1,0,1,0,1,1
"296",1421279,7650981,0,1,"['email', 'phone']",2,1,1,14,21,"1",1,3,9,9,"2022-12-30",11,0,"2013-09-11",4.55,"0",1,0.1,0,3397,0,0,0,0,"Amager st","Entire Unit",70,4.24849524204936,4,1.51512723296286,11539609,39200051773,4,"0","0","1","1","1","3",0,1,1,0,0,0,0,0,0
"297",1251786,6819164,0,1,"['email', 'phone']",3,1,2,2,1125,"1",29,59,89,364,"2022-12-30",14,0,"2013-08-20",5,"0",1,0.12,0,3419,0,0,0,0,"Nrrebro","Entire Unit",210,5.34710753071747,9,1.6094379124341,11689561,39966609059,9,"0","1","1","1","1","2",1,1,1,0,0,0,0,1,1
"299",1590470,8484752,68,1,"['email', 'phone']",2,1,1,3,1125,"1",16,34,55,288,"2022-12-30",107,0,"2013-10-21",4.58,"0",1,0.96,68,3357,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",152,5.02388052084628,4,1.52169899812609,11269449,37831540293,4,"0","1","1","1","2","3",1,1,1,1,0,1,1,1,1
"300",1602392,8530810,60,1,"['email', 'phone']",2,1,1,2,10,"1",30,60,90,365,"2022-12-30",3,1,"2022-10-15",5,"0",1,1.17,60,76,0,0,0,0,"Bispebjerg","Entire Unit",136,4.91265488573605,4,1.6094379124341,5776,438976,4,"0","1","1","1","1","2",0,1,1,0,0,0,0,0,0
"301",1606435,2602709,65,1,"['email', 'phone']",2,1,1,2,1125,"1",16,30,51,257,"2022-12-30",198,1,"2013-10-20",4.88,"0",1,1.77,65,3358,0,0,0,0,"Indre By","Entire Unit",169,5.12989871492307,4,1.58514521986506,11276164,37865358712,4,"1","1","1","1","2","2",1,1,1,0,0,1,0,1,1
"302",1461479,7832800,44,1,"['phone']",6,1,4,5,1125,"1",0,0,0,0,"2022-12-30",16,0,"2015-08-07",4.94,"0",1,0.18,44,2702,0,0,0,0,"Indre By","Entire Unit",207,5.33271879326537,36,1.59736533119983,7300804,19726772408,36,"0","0","1","1","1","3",1,1,1,1,0,0,0,0,1
"303",1254343,6832897,50,1,"['email', 'phone']",3,1,2,4,30,"1",0,0,0,0,"2022-12-30",43,0,"2013-08-12",4.56,"0",1,0.38,50,3427,0,0,0,0,"Nrrebro","Entire Unit",98,4.58496747867057,9,1.51732262352629,11744329,40247815483,9,"0","1","1","1","1","3",0,1,1,0,0,1,0,1,1
"304",1254632,6833388,50,1,"['email', 'phone']",2,1,1,3,31,"1",0,23,24,52,"2022-12-30",87,0,"2013-11-18",4.69,"0",1,0.78,50,3329,0,0,0,0,"Valby","Entire Unit",105,4.65396035015752,4,1.54543258245819,11082241,36892780289,4,"0","1","1","1","2","3",1,1,1,0,0,1,1,1,1
"305",1254739,6835128,47,1,"['email', 'phone']",6,1.5,3,3,20,"1",9,39,57,305,"2022-12-30",35,1,"2014-08-27",4.64,"0",1,0.34,47,3047,0,0,0,0,"Frederiksberg","Entire Unit",168,5.12396397940326,36,1.53471436623816,9284209,28288984823,36,"0","1","1","1","1","3",1,1,1,1,0,1,0,0,0
"306",1618565,200211,50,4,"['email', 'phone']",4,2.5,2,5,365,"1",0,0,0,142,"2022-12-30",9,0,"2014-01-05",4.56,"0",1,0.08,50,3281,0,0,0,0,"Amager Vest","Condominium",129,4.85981240436167,16,1.51732262352629,10764961,35319837041,16,"0","1","1","2","1","3",1,1,1,1,0,1,1,1,1
"307",1257616,5763310,73,1,"['email', 'phone', 'work_email']",4,1,2,3,1125,"1",0,0,0,0,"2022-12-30",35,2,"2013-07-11",4.7,"0",1,0.3,73,3459,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",154,5.03695260241363,16,1.54756250871601,11964681,41385831579,16,"0","1","1","1","1","3",0,1,1,0,0,0,0,1,1
"308",1623589,8633669,29,1,"['email', 'phone']",5,1.5,3,5,1125,"1",0,0,0,181,"2022-12-30",8,0,"2015-06-13",5,"0",1,0.09,29,2757,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",168,5.12396397940326,25,1.6094379124341,7601049,20956092093,25,"0","1","1","1","1","3",1,1,1,1,0,1,1,1,1
"309",1487657,617382,9,1,"['email', 'phone']",2,1,1,2,14,"1",0,0,29,304,"2022-12-30",23,0,"2013-08-16",4.65,"0",1,0.2,9,3423,0,0,0,0,"Frederiksberg","Entire Unit",117,4.76217393479776,4,1.53686721959926,11716929,40107047967,4,"0","1","1","1","1","2",1,1,1,1,0,1,1,1,0
"310",1487770,3593327,32,1,"['email', 'phone']",2,1,1,14,1125,"1",27,57,58,209,"2022-12-30",15,1,"2013-08-21",4.64,"0",1,0.13,32,3418,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",105,4.65396035015752,4,1.53471436623816,11682724,39931550632,4,"0","0","1","1","1","3",0,1,1,1,0,0,0,1,1
"311",1263075,6851863,67,1,"['email', 'phone']",6,1,3,4,11,"1",0,9,9,196,"2022-12-30",31,0,"2014-03-08",4.48,"0",1,0.29,67,3219,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",154,5.03695260241363,36,1.49962304642689,10361961,33355152459,36,"0","1","1","1","1","3",0,1,1,1,0,1,0,0,0
"312",1496270,7996914,29,1,"['email', 'phone']",2,1,1,2,60,"1",1,3,8,8,"2022-12-30",177,0,"2013-08-26",4.8,"0",1,1.56,29,3413,0,0,0,0,"Indre By","Entire Unit",112,4.71849887129509,4,1.56861591791385,11648569,39756565997,4,"0","1","1","1","2","2",1,1,1,1,0,1,0,1,1
"313",1632744,8211663,58,2,"['email', 'phone']",4,1,2,2,28,"1",0,1,1,15,"2022-12-30",102,0,"2014-04-14",4.87,"0",2,0.96,58,3182,0,0,0,0,"sterbro","Entire Unit",144,4.969813299576,16,1.5830939370945,10125124,32218144568,16,"0","1","1","1","2","2",1,1,1,0,0,1,0,0,1
"314",1263909,6881526,80,1,"['email', 'phone']",4,1,3,4,14,"1",0,0,0,0,"2022-12-30",12,0,"2013-08-01",5,"0",1,0.1,80,3438,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",98,4.58496747867057,16,1.6094379124341,11819844,40636623672,16,"0","1","1","1","1","3",1,1,1,1,0,1,0,1,0
"315",1265742,1011887,0,1,"['email', 'phone']",3,1,3,3,30,"1",0,0,0,149,"2022-12-30",2,0,"2013-08-26",5,"0",1,0.02,0,3413,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",140,4.9416424226093,9,1.6094379124341,11648569,39756565997,9,"0","1","1","1","1","3",1,1,1,0,0,0,0,1,1
"317",1266885,6896160,0,1,"['email', 'phone', 'work_email']",2,1,1,4,1125,"1",13,13,34,34,"2022-12-30",12,0,"2013-08-03",4.92,"0",1,0.1,0,3436,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",112,4.71849887129509,4,1.59330853050422,11806096,40565745856,4,"0","1","1","1","1","3",1,1,1,0,0,1,0,1,1
"318",1525464,8139282,75,2,"['email', 'phone']",3,1,1,5,30,"1",27,57,87,362,"2022-12-30",23,0,"2013-09-13",4.87,"0",1,0.2,75,3395,0,0,0,0,"Vesterbro-Kongens Enghave","Condominium",196,5.27811465923052,9,1.5830939370945,11526025,39130854875,9,"0","1","1","1","1","3",0,0,0,0,0,1,0,1,1
"319",1648746,1282310,100,1,"['email', 'phone']",2,1,1,8,20,"1",0,0,0,0,"2022-12-30",15,0,"2013-10-08",5,"0",1,0.13,100,3370,0,0,0,0,"Nrrebro","Entire Unit",54,3.98898404656427,4,1.6094379124341,11356900,38272753000,4,"0","1","1","1","1","3",0,1,1,0,0,1,1,1,0
"320",1277374,6922472,94,2,"['email', 'phone']",2,1,1,2,30,"1",0,3,3,3,"2022-12-30",36,0,"2015-09-01",4.74,"0",1,0.4,94,2677,0,0,0,0,"sterbro","Entire Unit",93,4.53259949315326,4,1.55603713570699,7166329,19184262733,4,"1","1","1","1","1","2",1,1,1,0,0,1,1,1,1
"321",1653195,8767019,100,1,"['email', 'phone']",6,1.5,3,3,1125,"1",0,0,0,0,"2022-12-30",35,0,"2017-01-05",4.91,"0",1,0.48,100,2185,0,0,0,0,"Indre By","Entire Unit",252,5.52942908751142,36,1.59127394180643,4774225,10431681625,36,"0","1","1","1","1","3",1,1,1,1,0,1,1,1,1
"322",1533478,4657316,67,2,"['email', 'phone']",3,1,1,3,1125,"1",0,13,43,241,"2022-12-30",125,0,"2013-11-09",4.74,"0",1,1.12,67,3338,0,0,0,0,"Frederiksberg","Entire Unit",158,5.06259503302697,9,1.55603713570699,11142244,37192810472,9,"0","1","1","1","2","3",0,1,1,0,0,1,0,1,1
